text,label
"Абсурд опровергается ""утонченным чувством чести"", даже если само оно абсурдно.",0
Веселое выражение лица постепенно отражается и на внутреннем мире.,0
"Сама смерть ужасна, но мысль о том, что придется умереть, так и не пожив, невыносима.",0
"Поступай согласно своей Воле, таков да будет весь Закон!",0
"Чего не следует делать, того не делай даже в мыслях.",0
"И всё-таки я полагаю, что натиск лучше, чем осторожность, ибо фортуна — женщина, и кто хочет с ней сладить, должен колотить её и пинать, — таким она поддаётся скорее, чем тем, кто холодно берётся за дело.",0
"Человек свободный выбирает бегство с тем же мужеством или присутствием духа, как и сражение.",0
"Самый болезненный, самый мучительный вопрос, идущий из самой глубины сердца: где я смогу почувствовать себя дома?",0
"Человеческий дух доказывает существование божественного духа так же, как одна капля воды доказывает существование источника, откуда она пришла.",0
"Я не знаю, какими вескими доводами скептик может добиться хотя бы того, чтобы его выслушали. Ведь либо его рассуждения — софистика и поэтому заслуживают презрения; либо в человеческих способностях нет истины, и тогда зачем нам рассуждать",0
"Такой вещи как человек, являющейся человеком благодаря самому себе, не существует.",0
"Толерантность может начинаться лишь за пределами дискриминации. Как и в случае со свободой религии, мы можем требовать толерантности лишь после устранения предрассудков, на основании которых прежде всего угнеталось меньшинство.",0
"Чем яснее вы понимаете себя и свои чувства, тем больше вы любите то, что есть ",0
Бич человека — это воображаемое знание ,0
Дьявол не верит в Бога.,0
"Больше пейте, меньше закусывайте. Это лучшее средство от самомнения и поверхностного атеизма. ",0
Заниматься строгой теологией - значит прокалывать тело божественными ересями.,0
Река истины протекает через каналы заблуждений.,0
"Какая ни есть внутри дрянь, все летит с языка в дружеское сердце. ",0
"Кратчайший путь не тот, который идёт по возможно прямому направлению, а тот, где попутные ветры надувают наши паруса: так учит наука мореплавания. ",0
"Скажи мне, что ты думаешь о переводе, и я скажу тебе, кто ты",0
"Хвастовство - присвоение себе благ, не существующих в действительности.",0
Себя надо любить и хвалить. Не поручать же такое ответственное дело чужим людям! ,0
"Поверь — когда злых помыслов в нас нет,",0
"Эпоха зла, насилия, горя.",0
